,ID,LLM_SMI,Fixed_SMI,Dative,Valence,NumAttempts,NumValence,NumOut
0,0_0,CCC1(CC)CC(C)(C)N(CCCC([N+](C)(C)C)C2(C)[O-]->[W+6](<-[S-2])(<-[S-2])<-[S-]C3OC(C)(C)OC3C(C)(C)N([O-]->1)C1CC(C)CC(C)(C)O3)C2OC(C)(C)OC2C(C)(C)N1C1CC(C)CC(C)(C)O1,CCC1(CC)CC(C)(C)N2CCCC([N+](C)(C)C)C(C)[O-]->[W+6](<-[S-2])(<-[S-2])<-[S-]COC(C)(C)OC3OC(C)(C)CC(C)CC(N(O1)C3(C)C)N(C1CC(C)CC(C)(C)O1)C(C)(C)C1OC(C)(C)OC12,True,True,9,9,9
1,1_13,N#CC1C2(Cc3cccc4Oc5cccc6C=[SH]C77OCC4c4c(O)c5ccccc5cc46)=O->[Cr+3]456(<-O=C7C(=C([O-]->4)N->53CCC3)CN->62CCO4)<-[O-]1,CCCC12C3=C4CN5(->[Cr+3]678<-O=C4C4OCCc9c(cccc1CP5(=O->6)C(C#N)[O-]->7)Oc1cccc(c8cc2ccccc1c9O)C=[SH]4)CCOO3,True,True,150,30,15
2,2_12,C1=CC2=C3C=C(C4=N5->[Ni+2]67(<-N(=C8C=C(C9=N->6C=C3C=C4)C=Cc3ccccc38)C=Cc3ccccc35)<-[N-]6C=Cc7ccccc7C6=CC5=N->7C(=C5C=C4)C=Cc4ccccc45)C=C2c2ccccc21,C=CC1=C(C2=CC=C3c2ccccc2C=C[N-]3->[Ni+2]234<-N2=CC5=CC(=N->3C=Cc3ccccc3N->4=C3C=CC(=C2)C2=C4C=Cc6ccccc6C4=CC3=C2)c2ccccc2C=C5)C=Cc2ccccc21,True,True,25,24,24
3,3_3,CC1(C)O[O-]->[Cu+2]2(<-[O-]CCN->2(C)C)(<-N2=C(C=C3OCC(C)(C)[N-]->23)CCC2)<-[N-]1C(C)(C)C,CCCC1=N(->[Cu+2]23(<-[O-]CCN->2(C)C)<-[O-]OC(C)(C)[N-]->3C(C)(C)C)N2C(=C1)OCC2(C)C,True,True,4,4,4
4,4_5,CCO[Si](C)(C)[C-]12->[Cr+3]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[cH-]1c(=O)oc1=O)<-[cH-](c1ccc5c1=O->3)[cH-]->4c1ccc3c1=O->52,CCO[Si](C)(C)[C-]12->[Cr+3]345(<-[C-]#[O+])(<-[C-]#[O+])<-O=c6c7ccc(c(=O)oc(=O)[cH-]->31)[cH-]->4[cH-]->5ccccc6=C72,True,True,14,6,6
5,5_3,O=C1CN2CC(=O)[O-]->[Co+2]<-234(<-[O-]1)<-n1cccc2ccc3ccc(C(=O)[N-]->3C(=O)CC2)n->4c3c21,CCC(=O)N1C(=O)c2ccc3ccc4cccn5->[Co+2]367(<-[O-]C(=O)CN->6CC(=O)[O-]->7)<-n2c1c45,True,True,5,5,5
6,6_53,CC1(C)C2CCC3N2->[Cu+2]2(<-N3=C1CCC3C(C)(C)C1CCC3N->2=C1CCC1C(C)(C)C1CCC3N->21)<-[O-][N+](=O)[O-],CC1(C)C(CCC2C3CCC4N3C3=CCCC(C(CCC3)C2(C)C)C4(C)C)=N2->[Cu+2](<-[O-][N+](=O)[O-])<-N3C2CCC31,True,True,100,100,100
7,7_1,CP1(C)CCP(C)(C)->[Ta+3]<-12(<-[C-]#[O+])(<-[N-]=C(C1CCCCC1)N(C1CCCCC1)N1C)(<-[O-]C1C3CCCC3C1([O-]->2)C3CCCC3)<-P(C)(C)CCP->2(C)C,CN1CCCCCC2CCCCCCC(=[N-]->[Ta+3]34(<-[C-]#[O+])(<-[O-]C5C6CCCC6C5(C5CCCC5)O[PH](C)(C)CCP->3(C)C)<-P(C)(C)CCP->4(C)C)N21,True,True,8,8,8
8,8_7,CC(C)C1COC2C=C3c4ccccc4C4C=C5OCC(C(C)C)[N-]5->[Ni+2](<-N=43)(<-N=21)<-N1=C2C=C3c4ccccc4C4C=C5OCC(C(C)C)[N-]5->14,CC(C)C1COC2=N1->[Ni+2]13<-N=C(C=C4OCC(C(C)C)[N-]->14)c1ccccc1C(=C2)C1=CC=N->3C23C(=CC2c2ccccc21)OCC3C(C)C,True,True,9,9,9
9,9_1,C=C([N-]1c2ccccc2C(C)N12Cc1ccccc1)->[Fe+2]<-123(<-N(Cc1ccccc1)[Si](C)(C)N->2(Cc1ccccc1)Cc1ccccc1)<-N(Cc1ccccc1)[Si](C)(C)N->3(Cc1ccccc1)Cc1ccccc1,C=C(N1c2cccccC(C)C21Cc1ccccc1)->[Fe+2]12(<-N(Cc3ccccc3)[Si](C)(C)N->1(Cc1ccccc1)Cc1ccccc1)<-N(Cc1ccccc1)[Si](C)(C)N->2(Cc1ccccc1)Cc1ccccc1,False,True,68,12,12
