,LLM_SMI,Valence,Dative,TotalNum
0,CCC1(CC)CC(C)(C)N(CCCC([N+](C)(C)C)C2(C)[O-]->[W+6](<-[S-2])(<-[S-2])<-[S-]C3OC(C)(C)OC3C(C)(C)N([O-]->1)C1CC(C)CC(C)(C)O3)C2OC(C)(C)OC2C(C)(C)N1C1CC(C)CC(C)(C)O1,True,True,9
1,N#CC1C2(Cc3cccc4Oc5cccc6C=[SH]C77OCC4c4c(O)c5ccccc5cc46)=O->[Cr+3]456(<-O=C7C(=C([O-]->4)N->53CCC3)CN->62CCO4)<-[O-]1,True,True,15
2,C1=CC2=C3C=C(C4=N5->[Ni+2]67(<-N(=C8C=C(C9=N->6C=C3C=C4)C=Cc3ccccc38)C=Cc3ccccc35)<-[N-]6C=Cc7ccccc7C6=CC5=N->7C(=C5C=C4)C=Cc4ccccc45)C=C2c2ccccc21,True,True,24
3,CC1(C)O[O-]->[Cu+2]2(<-[O-]CCN->2(C)C)(<-N2=C(C=C3OCC(C)(C)[N-]->23)CCC2)<-[N-]1C(C)(C)C,True,True,4
4,CCO[Si](C)(C)[C-]12->[Cr+3]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[cH-]1c(=O)oc1=O)<-[cH-](c1ccc5c1=O->3)[cH-]->4c1ccc3c1=O->52,True,True,6
5,O=C1CN2CC(=O)[O-]->[Co+2]<-234(<-[O-]1)<-n1cccc2ccc3ccc(C(=O)[N-]->3C(=O)CC2)n->4c3c21,True,True,5
6,CC1(C)C2CCC3N2->[Cu+2]2(<-N3=C1CCC3C(C)(C)C1CCC3N->2=C1CCC1C(C)(C)C1CCC3N->21)<-[O-][N+](=O)[O-],True,True,100
7,CP1(C)CCP(C)(C)->[Ta+3]<-12(<-[C-]#[O+])(<-[N-]=C(C1CCCCC1)N(C1CCCCC1)N1C)(<-[O-]C1C3CCCC3C1([O-]->2)C3CCCC3)<-P(C)(C)CCP->2(C)C,True,True,8
8,CC(C)C1COC2C=C3c4ccccc4C4C=C5OCC(C(C)C)[N-]5->[Ni+2](<-N=43)(<-N=21)<-N1=C2C=C3c4ccccc4C4C=C5OCC(C(C)C)[N-]5->14,True,True,9
9,C=C([N-]1c2ccccc2C(C)N12Cc1ccccc1)->[Fe+2]<-123(<-N(Cc1ccccc1)[Si](C)(C)N->2(Cc1ccccc1)Cc1ccccc1)<-N(Cc1ccccc1)[Si](C)(C)N->3(Cc1ccccc1)Cc1ccccc1,True,True,12
