,CSD_ID,TMC-SMILES
0,MAGNEO,CC1(C)C=CC(=N(C(=O)c2ccccc2)->[Pt+2](<-[Cl-])(<-[Cl-])<-N(C(=O)c2ccccc2)=C2C=CC(C)(C)N2)N1
1,QEWKUC,CC(=O)[O-]->[Cd+2]12(<-NCCN->13CCOCC3)(<-NCCN->21CCOCC1)<-[O-]C(C)=O
2,JAGNEL,Cc1ccc(N=Nc2n(C)ccn2->[Zn+2](<-O)(<-[Cl-])<-[Cl-])cc1
3,CORVEN,CC(C)(C)P1(CCN23CCP(C(C)(C)C)(C(C)(C)C)->[Re+6]<-2<-1(<-[N-3])(<-[Cl-])<-[O-]3)C(C)(C)C
4,JOCQAV,c1ccc(P2(CN3CP(c4ccccc4)(c4ccccc4)->[RuH2]<-2(<-P(C3)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1
5,GIFJUC,c1ccc(-c2nc(-c3ccc(-c4cc5-c6ccccn6->[Ru+2]678(<-n9ccccc9-c(c4)n->65)<-n4c(-c5nc6ccccc6[n-]->75)cccc4-c4nc5ccccc5[n-]->84)cc3)[nH]c2-c2ccccc2)cc1
6,ETUNEP,OCC(CO)(CO)n1cn(->[Pd+2](<-[Cl-])(<-[Cl-])<-n2cn(C(CO)(CO)CO)nn2)nn1
7,AQUFIC,[Cl-]->[Cu+2]123<-n4ccccc4CN->1(Cc1ccccn->21)Cc1ccccn->31
8,TETFUU,CCc1cccc(CC)c1N1=C(c2ccccc2)c2ccc3ccc4cccn5->[Co+2]<-1(<-[Cl-])(<-[Cl-])<-n2c3c45
9,ATUSOX,CS(C)=O->[Zn+2]123<-N4=C5C=CC4=C(c4ccccc4)C4=N->1C(=C(c1ccccc1)[C-]1[CH-][CH-][C+](C(c6ccccc6)=C6C=CC(=C5c5ccccc5)[NH2+]->26)[N-]->31)C=C4
10,XIWMAS,CS(C)=O->[Fe+3]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-n2ccccc2-c2ccccn->12
11,YIMWUP,CCN1(CC)CC(=O)[N-]2c3cccc4cccn(->[Cu+2]<-2<-1<-[Cl-])c34
12,PAKCIR,[CH3-]->[Pd+2]1(<-[Cl-])<-N(=Cc2ccccn->12)c1ccc2ccccc2c1
13,IPRNCU,[CH2-]C(C)N1=Cc2c([O-]->[Cu+3]<-13<-[O-]c1ccc4ccccc4c1C=N->3C(C)C)ccc1ccccc21
14,GIRXOW,CC(C)P1(CC[N-]2CCP(C(C)C)(C(C)C)->[Co+]<-2<-1<-[C-]#[O+])C(C)C
15,UFAWOO,CC(C)N12->[Cr+3]345(<-[Cl-])<-[O-]C(=O)CN->3(CCN->4(CC(=O)[O-]->5)CC1)CC2
16,COWKOO,C[O-]->[Pt+2]1(<-[CH3-])<-P(CCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
17,LUKLEJ,CC1c2cccc3CP(->[Cu+](<-n32)<-P1(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C
18,FAVHUF,FC(F)(F)C1(=S->[Pd]<-1(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)F
19,XEFFAQ,CC1=N(O)->[Pt+2](<-[Cl-])(<-[Cl-])<-N(=O)C1(C)C
20,ULUTOL,C[C-]1(C)N(c2ccccc2)c2cccc3-c4ccccn4->[Pt+2]<-1(<-[Cl-])<-n32
21,DOMKEW,CC1(C)COC2C3=N(->[Ru+2]4(<-[N-]=C=S)(<-[N-]=C=S)(<-N=21)<-N1=C(C2=N->4C(C)(C)CO2)OCC1(C)C)C(C)(C)CO3
22,HIWSEL,O=C1CN2CCN3CC(=O)[O-]->[Cr+3]<-2<-34(<-[O-]1)<-n1cccc2ccc3cccn->4c3c21
23,BEKDON,c1ccc2c(c1)N1CCCCN3c4ccccc4N4CCCN5c6ccccc6N6CCCCN7c8ccccc8N8CCCN2[C]1->[Pt+2](<-[C]78)(<-[C]34)<-[C]65
24,NUHCAU,CC(C)(C)[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-S3CCN->1(C)CCN->2(C)CC3
25,BAPLOU,S=C=[N-]->[Cu+]1(<-N(=CC=Cc2ccccc2)CCN->1=CC=Cc1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
26,YOGNIR,CC(C)P1(CCP(C(C)C)(C(C)C)->[FeH+]<-12345<-[CH2-]C->2=C->3C->4=C->5C)C(C)C
27,JEXKAB,Cc1oc2C=C([O-]->[V+3]34(<-[O-]C(=Cc5oc(C)c(C)n->35)C(F)(F)F)(<-[O-]C(=Cc3oc(C)c(C)n->43)C(F)(F)F)<-n2c1C)C(F)(F)F
28,YAMPAF,C1=CN(Cc2ccccc2)[C](->[Au+]<-[S-]c2ccccc2)N1Cc1ccccc1
29,AQUJUU,CC(C)P1(Cc2cccc3CP(C(C)C)(C(C)C)->[Mn+2]<-1(<-[Cl-])(<-[Cl-])<-n23)C(C)C
30,IXAGOF,CC1c2cccc[c-]2->[Ru+2]2(<-[C-]#[O+])(<-[O-]C(=NN->2=1)c1ccc(Br)cc1)(<-[As](c1ccccc1)(c1ccccc1)c1ccccc1)<-[As](c1ccccc1)(c1ccccc1)c1ccccc1
